,Product,Price,Rating,No. of Ratings,No. of Reviews,images
0,"APPLE iPhone 14 (Blue, 128 GB)",66999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
1,"APPLE iPhone 14 (Purple, 128 GB)",67999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
2,"APPLE iPhone 14 (Midnight, 128 GB)",66999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
3,"APPLE iPhone 14 Plus (Blue, 128 GB)",75999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
4,"APPLE iPhone 11 (White, 64 GB)",37999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/k/y/d/iphone-11-256-u-mwm82hn-a-apple-0-original-imafkg25mhaztxns.jpeg?q=70
5,"APPLE iPhone 11 (Black, 64 GB)",37999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
6,"APPLE iPhone 13 (Starlight, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70
7,"APPLE iPhone 14 (Starlight, 128 GB)",67999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
8,"APPLE iPhone 13 (Blue, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70
9,"APPLE iPhone 13 (Midnight, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70
10,"APPLE iPhone 14 Plus (Midnight, 128 GB)",75999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70
11,"APPLE iPhone 14 (Blue, 256 GB)",76999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
